   2   16 -100 1   1   57  14   1    1 9    2    2    2    2  20 2021   79
   1    1 -100 3   1   62  16   1    1 3 -100 -100 -100 -100  24 2021   80
   1    1 -100 2   1   62  12   1    2 3 -100 -100 -100 -100  20 2021   81
   1    1 -100 1   5   33  12   1    1 3    2    1    2    2  20 2021   82
   1    1 -100 2   1   72  12   1    2 3    2    2    2    2  20 2021   83
   1    2 -100 2   1   64  18   4    2 3    2    2    2    2  20 2021   84
   1    1 -100 3   3   42  16   3    1 3 -100 -100 -100 -100  15 2021   85
   1    1 -100 3   5   73  16   3    2 3 -100 -100 -100 -100  22 2021   86
  21    1 -100 1   5   49  16   3    1 3    2    2    2    2 -98 2021   88
   1    2 -100 3   3   63  10   0    2 3 -100 -100 -100 -100  13 2021   89
   1    2 -100 3   5   32  18   3    2 3 -100 -100 -100 -100  19 2021   90
   1    2 -100 2   5   22  12   1    1 3 -100 -100 -100 -100 -98 2021   91
   1    1 -100 1   5   65  16   3    1 3    2    2    2    2   9 2021   92
   1    1 -100 3   1   71  16   3    2 3 -100 -100 -100 -100  26 2021   93
   1    1 -100 1   1   43  15   1    1 3    1    1    1    2  26 2021   94
   1    1 -100 2   1   55  16   3    2 3    1    1    1    2  26 2021   95
   1    1 -100 1   1   33  12   1    2 3    2    2    2    2   9 2021   96
   1    2 -100 2   5   28  13   1    1 3 -100 -100 -100 -100  25 2021   97
   1    2 -100 1   2   62  14   1    2 3    2    2    2    2 -98 2021   98
   1    2 -100 1   4   55  15   2    2 3    2    2    2    2  18 2021   99
   1    1 -100 3   1   41  16   4    1 3 -100 -100 -100 -100  26 2021  100
   1    1 -100 2   3   66  14   2    1 3    2    2    2    2  13 2021  101
   1    1 -100 2   1   74  18   4    1 3    2    1    2    2  22 2021  102
   1    1 -100 2   1 -100  18   4    2 3 -100 -100 -100 -100  24 2021  103
   1    1 -100 1   1   51  17   3    1 3    2    2    1    2  26 2021  104
   1    1 -100 3   3   66  18   3    2 3 -100 -100 -100 -100  19 2021  105
   1    1 -100 3   1   70  13   1    1 3 -100 -100 -100 -100  25 2021  106
   1  -98 -100 1   5 -100  18   4    2 3    2    2    2    2  24 2021  107
   1    1 -100 1   1   57  14   2    2 3    2    2    1    2  15 2021  108
   2   16 -100 2   1   60   8   0    1 3 -100 -100 -100 -100  10 2021  109
   1    1 -100 2   1   41  16   3    1 5    2    1    2    2  22 2021  111
   1    1 -100 3   3   56  12   1    1 5 -100 -100 -100 -100 -98 2021  113
   1    1 -100 1   2   46  14   2    2 5    2    2    2    2  25 2021  114
